User,Date,Text,Compound,Positive,Neutral,Negative,Tweets Ago
BBC,Wed Jun 13 19:03:07 +0000 2018,"Anatomist @theAliceRoberts embarks on a quest to rebuild her own body from scratch. 

Can Science Make Me Perfect?… https://t.co/MSu2XCAYqw",0.0,0.0,0.0,1.0,1
BBC,Wed Jun 13 18:28:04 +0000 2018,"Discover the story of how Kensington became the most unequal place in Britain. 

Before Grenfell: A Hidden History… https://t.co/68V4lSl8ee",-0.4005,0.0,0.137,0.863,2
BBC,Wed Jun 13 18:01:04 +0000 2018,😁 Russian workers being taught how to smile more ahead of the World Cup.  https://t.co/Qv9BoVmX25,0.3612,0.161,0.0,0.839,3
BBC,Wed Jun 13 16:30:31 +0000 2018,"RT @BBCOne: There are some ingredients that even Britain’s best home cooks can’t get on board with. #BBHC 🤔

@Chris_Bavin https://t.co/whDV…",0.6369,0.181,0.0,0.819,4
BBC,Wed Jun 13 16:25:17 +0000 2018,"RT @BBCiPlayer: Witness the might of female factory workers in Dagenham, who fought for equal pay in 1968. 💪 🙌🏾 
#MadeinDagenham: https://t…",-0.4019,0.0,0.163,0.837,5
BBC,Wed Jun 13 16:01:03 +0000 2018,'Black people think I have white privilege.' https://t.co/SoNEFZfdZ6,0.0,0.0,0.0,1.0,6
BBC,Wed Jun 13 12:47:08 +0000 2018,RT @bbcarts: Flags by artists including Grayson Perry (@Alan_Measles) and Cornelia Parker have appeared across London's West End as the @ro…,0.0,0.0,0.0,1.0,7
BBC,Wed Jun 13 12:03:07 +0000 2018,⚡️ Meet Hertha Ayrton – the woman who shaped how we use electricity. https://t.co/LZnr5wtYNy,0.0,0.0,0.0,1.0,8
BBC,Wed Jun 13 11:00:15 +0000 2018,"Did you know you've had an accent since birth?

🗣 Seven things you need to hear about your voice.
👉… https://t.co/3OGd30hpVQ",0.0,0.0,0.0,1.0,9
BBC,Wed Jun 13 10:15:53 +0000 2018,"A daredevil raccoon in St Paul, Minnesota, has had the internet on tenterhooks after scaling 23 floors of a buildin… https://t.co/tqjQwFVL3I",0.128,0.077,0.0,0.923,10
BBC,Wed Jun 13 09:36:59 +0000 2018,"😲⚱️ An 18th Century Chinese vase, left for decades in a shoebox in France, has sold for 16.2m euros (£14.2m).
👉… https://t.co/7atcYClrRw",0.0,0.0,0.0,1.0,11
BBC,Wed Jun 13 09:09:15 +0000 2018,RT @BBCFOUR: We're celebrating female voices and achievements across the BBC to mark 100 years since women got the vote. So here's to @Elli…,0.5719,0.139,0.0,0.861,12
BBC,Wed Jun 13 08:00:04 +0000 2018,"🐦🐦🐦
Do these photos change your view of pigeons? https://t.co/SQKBEWW3Fs",0.0,0.0,0.0,1.0,13
BBC,Wed Jun 13 07:26:10 +0000 2018,"🌱👀 Shengshan island in China's eastern Zhejiang province is home to Houtouwan, an abandoned village that has become… https://t.co/66x0Zg6TOm",-0.4588,0.0,0.143,0.857,14
BBC,Wed Jun 13 07:00:15 +0000 2018,"🎶 SOUND ON 🎶 
💙 This is the most relaxing way to start your day.
#OurBluePlanet w/ @OceanX https://t.co/powXPfRdat",0.5413,0.189,0.0,0.811,15
BBC,Tue Jun 12 19:01:04 +0000 2018,"🖥 The US has debuted the world's fastest supercomputer and it can process 200 petaflops per second.
👉… https://t.co/6vWlmLR2nT",0.0,0.0,0.0,1.0,16
BBC,Tue Jun 12 18:07:04 +0000 2018,This is the remarkable story of a convent of Mexican nuns helping to save one of the world's most endangered amphib… https://t.co/onravMF7l2,0.8402,0.333,0.0,0.667,17
BBC,Tue Jun 12 17:01:05 +0000 2018,"🤢 How long has it been since you last washed your tea towel?

Multi-use of tea towels is putting households at risk… https://t.co/PHJy8gmVSX",0.0,0.0,0.0,1.0,18
BBC,Tue Jun 12 16:00:03 +0000 2018,"🇸🇪🙊 Learn how to swear like a Swede! 

(via @BBCRadio4) https://t.co/S789Be360L",0.3802,0.233,0.1,0.667,19
BBC,Tue Jun 12 15:36:53 +0000 2018,RT @bbcwritersroom: Find out how we created 4 brand new #comedy monologues across the UK for the #BiggestWeekend festival and watch all 4 n…,0.6369,0.206,0.0,0.794,20
BBC,Tue Jun 12 15:14:54 +0000 2018,RT @BBCOne: .@StaceyDooley investigates the changing face of women's protests. https://t.co/1cdtKOdQ50,-0.2263,0.0,0.16,0.84,21
BBC,Tue Jun 12 15:01:55 +0000 2018,"😂 Charlie Chaplin: The original distracted boyfriend.
👉 https://t.co/SplrRVbEzo https://t.co/5pYs0lIMcM",-0.0258,0.215,0.224,0.561,22
BBC,Tue Jun 12 14:38:12 +0000 2018,"RT @bbcarts: 100 years after women won the right to vote, and with the #MeToo movement making waves around the world, are we really any clo…",0.5719,0.129,0.0,0.871,23
BBC,Tue Jun 12 13:02:04 +0000 2018,"The ""Sensational Six"" have been friends for 40 years. After one of the group died from cancer, this photo inspired… https://t.co/grOw4K4mEA",-0.7096,0.107,0.275,0.619,24
BBC,Tue Jun 12 12:15:37 +0000 2018,"RT @BBCR1: How special is this cover?!

@5SOS take on @AliceMerton's 'No Roots' in the Live Lounge 💕 https://t.co/EmYc7O524x",0.2003,0.141,0.104,0.755,25
BBC,Tue Jun 12 12:00:21 +0000 2018,🙌 Meet the 10-year-old with cerebral palsy who's won a modelling contract. https://t.co/UxQFh12fPX,0.5719,0.27,0.0,0.73,26
BBC,Tue Jun 12 11:04:42 +0000 2018,"RT @bbcrb: Who doesn't love Gromit?
Even his biggest fans won't have seen him like THIS before! 😮✈️ https://t.co/8jvF1G1EeC",-0.2869,0.108,0.158,0.734,27
BBC,Tue Jun 12 11:03:02 +0000 2018,"🥒 Use a wooden chopping board 
🍄 Stop peeling your mushrooms
🤔 Throw your spaghetti at the wall... 

Here are 10 co… https://t.co/e8RCeFoJvg",-0.296,0.0,0.109,0.891,28
BBC,Tue Jun 12 10:21:42 +0000 2018,Captain Mainwaring and his comrades are to feature on a new set of stamps to mark the 50th anniversary of the class… https://t.co/h8wGtRaGtO,0.0,0.0,0.0,1.0,29
BBC,Tue Jun 12 10:10:18 +0000 2018,"RT @BBCR1: ✨💫 Today's the day! 💫✨

Make sure you're listening to @claraamfo to hear @5SOS perform in the Live Lounge at 12pm 👉 https://t.co…",0.3802,0.101,0.0,0.899,30
BBC,Tue Jun 12 09:34:55 +0000 2018,RT @bbcthree: Robert Lee quit his well paid Wall Street job to feed the homeless https://t.co/OHl500fXn1,0.2732,0.123,0.0,0.877,31
BBC,Tue Jun 12 08:25:43 +0000 2018,"RT @bbcgetinspired: History will be made at the #WorldCup 

Here's @LivCookefs to get you in the mood. Could you do these super skills? #Ge…",0.5994,0.145,0.0,0.855,32
BBC,Tue Jun 12 08:00:18 +0000 2018,"🔊🐦 Ever heard a beatboxing starling? 
#Springwatch https://t.co/N758EN4j3s",0.0,0.0,0.0,1.0,33
BBC,Tue Jun 12 07:28:06 +0000 2018,"🧟📱 A Chinese city has introduced a special pedestrian lane on one of its roads, exclusively for slow-walking smartp… https://t.co/rBVq8RO5KN",0.4019,0.137,0.0,0.863,34
BBC,Tue Jun 12 07:00:10 +0000 2018,This new service uses a smartphone and camera glasses to help blind or partially sighted people. https://t.co/5Ca4REP9xU,0.0,0.139,0.139,0.722,35
BBC,Mon Jun 11 18:00:20 +0000 2018,"'Everything that happened, could have been prevented. But it wasn't.'
#Grenfell | 8.30pm | @BBCOne https://t.co/WN4aCfoNTA",0.0258,0.078,0.0,0.922,36
BBC,Mon Jun 11 17:31:06 +0000 2018,"Follow top female wrestler Kimberly Benson, aka Viper, as she fights in some of the most important matches of her c… https://t.co/KE73F2VSI8",0.0498,0.152,0.105,0.742,37
BBC,Mon Jun 11 16:00:11 +0000 2018,"🚺😂 @SandiToksvig can't get a moment of peace. 
#QI https://t.co/D9YlBYFxpp",0.5423,0.304,0.0,0.696,38
BBC,Mon Jun 11 15:18:53 +0000 2018,RT @BBCr4today: The building blocks of life have been found on Mars and @SanjeevGupta45 says it's an exciting prospect 👽 #r4today https://t…,0.5423,0.213,0.075,0.711,39
BBC,Mon Jun 11 15:11:47 +0000 2018,"RT @bbc5live: ""Be in charge of your own happiness"" 💪

 Inspiring words from champion wrestler @missviper91!

#FightLikeAGirl is on @BBCOne…",0.8908,0.398,0.0,0.602,40
BBC,Mon Jun 11 15:03:32 +0000 2018,"'My mum had tears coming out of her eyes'. 

❤️ This Sikh soldier became the first person to wear a turban for the… https://t.co/op7eX7mW5x",-0.2263,0.0,0.079,0.921,41
BBC,Mon Jun 11 14:25:15 +0000 2018,"The UK could see an end to homelessness within 10 years if the government embraces certain policies, according to t… https://t.co/7aqYA3BaEE",0.2732,0.095,0.0,0.905,42
