City,Cloudiness,Country,Humidity,Lat,Long,Temperature,Wind Speed
Aberdeen,1,US,53,45.47,-98.49,75.2,13.87
Abu Dhabi,0,AE,63,24.47,54.37,91.4,1.12
Adrar,0,DZ,21,27.87,-0.29,86,11.41
Ahipara,0,NZ,86,-35.17,173.16,59.93,16.33
Ahipara,0,NZ,86,-35.17,173.16,59.93,16.33
Ahuimanu,75,US,69,21.44,-157.84,81.16,11.41
Airai,8,TL,80,-8.93,125.41,71.18,2.13
Airai,8,TL,80,-8.93,125.41,71.18,2.13
Airai,8,TL,80,-8.93,125.41,71.18,2.13
Akdepe,0,TM,43,42.05,59.39,72.64,11.41
Aklavik,40,CA,43,68.22,-135.01,51.8,11.41
Aklavik,40,CA,43,68.22,-135.01,51.8,11.41
Aklavik,40,CA,43,68.22,-135.01,51.8,11.41
Aksarka,92,RU,100,66.56,67.8,35.36,10.18
Aksha,0,RU,58,50.28,113.29,64.52,5.82
Albany,20,US,60,42.65,-73.75,66.56,5.82
Albany,20,US,60,42.65,-73.75,66.56,5.82
Albany,20,US,60,42.65,-73.75,66.56,5.82
Albany,20,US,60,42.65,-73.75,66.56,5.82
Albany,20,US,60,42.65,-73.75,66.56,5.82
Albany,20,US,60,42.65,-73.75,66.56,5.82
Albany,20,US,60,42.65,-73.75,66.56,5.82
Albany,20,US,60,42.65,-73.75,66.56,5.82
Alofi,68,NU,96,-19.06,-169.92,80.81,13.87
Alta Floresta,20,BR,85,-9.87,-56.08,77.93,2.01
Altay,8,CN,43,47.83,88.13,50.75,3.69
Amalner,0,IN,79,21.04,75.07,80.63,10.74
Ambalavao,0,MG,85,-21.83,46.94,44.63,2.35
Anaconda,75,US,52,46.13,-112.94,64.4,17.22
Ancud,92,CL,94,-41.87,-73.83,49.67,12.75
Arkhipo-Osipovka,8,RU,92,44.37,38.53,64.07,3.69
Arlit,36,NE,28,18.74,7.39,85.67,6.93
Arraial do Cabo,75,BR,88,-22.97,-42.02,69.8,4.7
Arraial do Cabo,75,BR,88,-22.97,-42.02,69.8,4.7
Arraial do Cabo,75,BR,88,-22.97,-42.02,69.8,4.7
Atasu,80,KZ,32,48.68,71.64,69.65,7.38
Atuona,0,PF,100,-9.8,-139.03,80.27,10.51
Atuona,0,PF,100,-9.8,-139.03,80.27,10.51
Atuona,0,PF,100,-9.8,-139.03,80.27,10.51
Atuona,0,PF,100,-9.8,-139.03,80.27,10.51
Atuona,0,PF,100,-9.8,-139.03,80.27,10.51
Atuona,0,PF,100,-9.8,-139.03,80.27,10.51
Atuona,0,PF,100,-9.8,-139.03,80.27,10.51
Atuona,0,PF,100,-9.8,-139.03,80.27,10.51
Avarua,75,CK,78,-21.21,-159.78,80.6,8.05
Avarua,75,CK,78,-21.21,-159.78,80.6,8.05
Avarua,75,CK,78,-21.21,-159.78,80.6,8.05
Avarua,75,CK,78,-21.21,-159.78,80.6,8.05
Avera,40,US,65,33.19,-82.53,83.61,3.02
Avera,40,US,65,33.19,-82.53,83.61,3.02
Awbari,44,LY,18,26.59,12.77,86.75,3.58
Awjilah,0,LY,26,29.14,21.3,80.45,6.15
Awjilah,0,LY,26,29.14,21.3,80.45,6.15
Ayagoz,80,KZ,34,47.96,80.43,65.33,7.49
Baghmara,24,IN,96,23.8,86.21,77.21,6.04
Bambous Virieux,75,MU,78,-20.34,57.76,75.2,12.75
Bambous Virieux,75,MU,78,-20.34,57.76,75.2,12.75
Banjar,56,ID,90,-7.37,108.54,69.65,2.46
Barrow,0,AR,63,-38.31,-60.23,41.12,11.86
Barrow,0,AR,63,-38.31,-60.23,41.12,11.86
Barrow,0,AR,63,-38.31,-60.23,41.12,11.86
Basco,1,US,58,40.33,-91.2,86.81,2.91
Bathsheba,20,BB,78,13.22,-59.52,78.8,17.22
Bathurst,88,AU,86,-33.42,149.58,50.48,5.48
Baykit,76,RU,75,61.68,96.39,58.67,3.69
Baykit,76,RU,75,61.68,96.39,58.67,3.69
Bekhtery,0,UA,78,46.25,32.3,56.51,10.85
Belaya Gora,0,RU,48,68.54,146.19,52.19,19.46
Benghazi,5,LY,29,32.12,20.07,89.6,28.86
Benguela,0,AO,92,-12.58,13.4,74.69,5.37
Beringovskiy,48,RU,95,63.05,179.32,36.8,6.6
Berja,8,ES,93,36.85,-2.95,62.6,4.7
Bethel,90,US,76,60.79,-161.76,50,8.05
Bethel,90,US,76,60.79,-161.76,50,8.05
Bhandara,75,IN,94,21.16,79.65,77,4.7
Bilibino,56,RU,63,68.06,166.44,49.22,3.02
Binzhou,24,CN,69,37.38,117.96,78.2,5.03
Bluff,24,AU,64,-23.58,149.07,67.67,12.64
Bluff,24,AU,64,-23.58,149.07,67.67,12.64
Bluff,24,AU,64,-23.58,149.07,67.67,12.64
Bluff,24,AU,64,-23.58,149.07,67.67,12.64
Bluff,24,AU,64,-23.58,149.07,67.67,12.64
Bluff,24,AU,64,-23.58,149.07,67.67,12.64
Bluff,24,AU,64,-23.58,149.07,67.67,12.64
Bluff,24,AU,64,-23.58,149.07,67.67,12.64
Bluff,24,AU,64,-23.58,149.07,67.67,12.64
Bluff,24,AU,64,-23.58,149.07,67.67,12.64
Bluff,24,AU,64,-23.58,149.07,67.67,12.64
Bluff,24,AU,64,-23.58,149.07,67.67,12.64
Boca do Acre,0,BR,88,-8.76,-67.39,73.07,3.58
Bollnas,24,SE,61,61.35,16.39,53.63,4.14
Bontang,20,ID,98,0.12,117.47,82.97,6.93
Bredasdorp,88,ZA,99,-34.53,20.04,57.41,1.23
Bredasdorp,88,ZA,99,-34.53,20.04,57.41,1.23
Bredasdorp,88,ZA,99,-34.53,20.04,57.41,1.23
Bredasdorp,88,ZA,99,-34.53,20.04,57.41,1.23
Bredasdorp,88,ZA,99,-34.53,20.04,57.41,1.23
Bredasdorp,88,ZA,99,-34.53,20.04,57.41,1.23
Bredasdorp,88,ZA,99,-34.53,20.04,57.41,1.23
Bubaque,0,GW,88,11.28,-15.83,78.8,5.82
Bubaque,0,GW,88,11.28,-15.83,78.8,5.82
Buin,0,CL,46,-33.73,-70.74,53.6,4.7
Busselton,92,AU,100,-33.64,115.35,56.42,4.7
Busselton,92,AU,100,-33.64,115.35,56.42,4.7
Busselton,92,AU,100,-33.64,115.35,56.42,4.7
Busselton,92,AU,100,-33.64,115.35,56.42,4.7
Busselton,92,AU,100,-33.64,115.35,56.42,4.7
Busselton,92,AU,100,-33.64,115.35,56.42,4.7
Busselton,92,AU,100,-33.64,115.35,56.42,4.7
Busselton,92,AU,100,-33.64,115.35,56.42,4.7
Butaritari,48,KI,100,3.07,172.79,84.68,5.93
Butaritari,48,KI,100,3.07,172.79,84.68,5.93
Butaritari,48,KI,100,3.07,172.79,84.68,5.93
Byron Bay,75,AU,88,-28.65,153.62,64.4,6.93
Cabedelo,75,BR,88,-6.97,-34.84,77,6.93
Cabo San Lucas,20,MX,40,22.89,-109.91,91.99,11.41
Cabo San Lucas,20,MX,40,22.89,-109.91,91.99,11.41
Cabra,0,ES,77,37.47,-4.43,62.6,5.82
Cairns,75,AU,65,-16.92,145.77,77,18.34
Cap Malheureux,75,MU,78,-19.98,57.61,75.2,12.75
Cape Town,80,ZA,100,-33.93,18.42,57.68,6.04
Cape Town,80,ZA,100,-33.93,18.42,57.68,6.04
Cape Town,80,ZA,100,-33.93,18.42,57.68,6.04
Cape Town,80,ZA,100,-33.93,18.42,57.68,6.04
Cape Town,80,ZA,100,-33.93,18.42,57.68,6.04
Cape Town,80,ZA,100,-33.93,18.42,57.68,6.04
Cape Town,80,ZA,100,-33.93,18.42,57.68,6.04
Cape Town,80,ZA,100,-33.93,18.42,57.68,6.04
Caravelas,0,BR,96,-17.73,-39.27,77.93,17.67
Carnarvon,0,ZA,60,-30.97,22.13,41.66,8.95
Carnarvon,0,ZA,60,-30.97,22.13,41.66,8.95
Carnarvon,0,ZA,60,-30.97,22.13,41.66,8.95
Carnarvon,0,ZA,60,-30.97,22.13,41.66,8.95
Carnarvon,0,ZA,60,-30.97,22.13,41.66,8.95
Cascais,75,PT,100,38.7,-9.42,60.82,6.93
Castro,88,CL,95,-42.48,-73.76,48.77,13.65
Castro,88,CL,95,-42.48,-73.76,48.77,13.65
Cayenne,92,GF,100,4.94,-52.33,77,2.24
Cayenne,92,GF,100,4.94,-52.33,77,2.24
Chara,0,GR,82,39.42,22.43,68,4.7
Chimbote,0,PE,91,-9.08,-78.59,63.98,7.38
Chokurdakh,36,RU,100,70.62,147.9,33.83,14.99
Chokurdakh,36,RU,100,70.62,147.9,33.83,14.99
Chokurdakh,36,RU,100,70.62,147.9,33.83,14.99
Chuy,0,UY,83,-33.69,-53.46,48.68,20.8
Coahuayana,12,MX,75,18.62,-100.35,78.38,1.12
Cody,1,US,37,44.53,-109.06,71.6,5.82
Coihaique,90,CL,96,-45.58,-72.07,32,3.36
Comodoro Rivadavia,0,AR,56,-45.87,-67.48,44.6,9.17
Coquimbo,0,CL,93,-29.95,-71.34,50,2.13
Darnah,0,LY,83,32.77,22.64,78.56,15.88
Darovskoy,68,RU,84,58.77,47.96,41.21,8.16
Datong,68,CN,51,40.09,113.3,63.8,4.03
Denpasar,80,ID,100,-8.65,115.22,72.8,1.79
Deputatskiy,12,RU,47,69.3,139.9,48.59,9.4
Deputatskiy,12,RU,47,69.3,139.9,48.59,9.4
Dhidhdhoo,44,MV,100,6.88,73.1,82.07,18.9
Dikson,64,RU,97,73.51,80.55,33.02,17.11
Dunmore East,12,IE,82,52.15,-6.99,55.88,6.6
Dwarka,40,IN,56,28.58,77.04,93.2,8.05
East London,12,ZA,100,-33.02,27.91,67.49,15.99
East London,12,ZA,100,-33.02,27.91,67.49,15.99
Egvekinot,48,RU,92,66.32,-179.17,36.53,3.36
Elliot Lake,1,CA,72,46.37,-82.65,60.8,10.29
Esperance,20,TT,78,10.24,-61.45,78.8,6.93
Esperance,20,TT,78,10.24,-61.45,78.8,6.93
Esperance,20,TT,78,10.24,-61.45,78.8,6.93
Fairbanks,40,US,42,64.84,-147.72,63.12,6.93
Faya,0,SA,43,18.39,42.45,72.54,5.82
Fort Nelson,75,CA,40,58.81,-122.69,68,5.82
Fortuna,0,ES,82,38.18,-1.13,66.2,2.24
Ganzhou,92,CN,99,25.86,114.93,73.7,3.02
Gazli,0,UZ,42,40.13,63.45,75.05,9.17
General Pico,0,AR,64,-35.66,-63.75,39.32,8.61
General Roca,0,AR,100,-39.03,-67.58,37.4,10.4
Genhe,24,CN,67,50.78,121.52,66.41,6.15
Georgetown,20,GY,94,6.8,-58.16,77,4.7
Greenwood,24,US,25,32.03,-101.9,96.8,13.87
Grindavik,90,IS,100,63.84,-22.43,48.2,10.29
Hami,8,CN,26,42.84,93.51,71.99,15.77
Hammerfest,75,NO,100,70.66,23.68,37.4,10.29
Harstad,92,NO,80,68.8,16.53,39.22,3.36
Hasaki,75,JP,73,35.73,140.83,75.88,10.29
Hermanus,76,ZA,95,-34.42,19.24,48.68,2.57
Hermanus,76,ZA,95,-34.42,19.24,48.68,2.57
Hermanus,76,ZA,95,-34.42,19.24,48.68,2.57
Hermanus,76,ZA,95,-34.42,19.24,48.68,2.57
Hermanus,76,ZA,95,-34.42,19.24,48.68,2.57
Hermanus,76,ZA,95,-34.42,19.24,48.68,2.57
High Prairie,88,CA,39,55.43,-116.48,74.24,5.37
High Rock,8,BS,97,26.63,-78.28,82.97,10.63
Hilo,75,US,69,19.71,-155.08,76.15,12.75
Hithadhoo,8,MV,100,-0.6,73.08,82.7,12.97
Hithadhoo,8,MV,100,-0.6,73.08,82.7,12.97
Hithadhoo,8,MV,100,-0.6,73.08,82.7,12.97
Hobart,40,AU,44,-42.88,147.33,60.8,25.28
Hobart,40,AU,44,-42.88,147.33,60.8,25.28
Hobart,40,AU,44,-42.88,147.33,60.8,25.28
Hobart,40,AU,44,-42.88,147.33,60.8,25.28
Hofn,0,IS,96,64.25,-15.21,48.14,11.74
Hofn,0,IS,96,64.25,-15.21,48.14,11.74
Houma,76,CN,50,35.63,111.36,73.43,3.24
Huarmey,0,PE,77,-10.07,-78.15,61.01,2.57
Ilo,88,PE,98,-17.65,-71.34,60.2,2.01
Ilulissat,80,GL,74,69.22,-51.1,37.4,4.7
Ilulissat,80,GL,74,69.22,-51.1,37.4,4.7
Indian Head,20,CA,49,50.53,-103.67,75.5,11.86
Inndyr,75,NO,86,67.03,14.03,41,13.87
Iqaluit,75,CA,96,63.75,-68.52,32,3.36
Iquique,75,CL,77,-20.22,-70.14,59,9.17
Iquique,75,CL,77,-20.22,-70.14,59,9.17
